transaction_id,customer_id,decline_reason,decline_bucket,amount_inr,eligible_for_baseline,scheduled_retry_hours,attempted_retry_count,recovered,successful_retry_hours,recovery_status,recovered_inr,lost_inr
TX000059,C01787,card_declined,SOFT_RETRY,7003.64,True,24|48|72,3,False,,lost,0.0,7003.64
TX000060,C01864,card_not_enrolled,HARD_FAILURE,752.99,False,,0,False,,not_eligible,0.0,752.99
TX000061,C00622,payment_timed_out,SOFT_RETRY,1513.88,True,24|48|72,2,True,48.0,recovered,1513.88,0.0
TX000062,C01552,payment_timed_out,SOFT_RETRY,936.69,True,24|48|72,3,False,,lost,0.0,936.69
TX000063,C00538,insufficient_funds,SOFT_RETRY,982.77,True,24|48|72,3,True,72.0,recovered,982.77,0.0
TX000064,C00538,insufficient_funds,SOFT_RETRY,6771.65,True,24|48|72,3,True,72.0,recovered,6771.65,0.0
TX000065,C00526,card_declined,SOFT_RETRY,439.18,True,24|48|72,3,False,,lost,0.0,439.18
TX000066,C01786,insufficient_funds,SOFT_RETRY,1350.39,True,24|48|72,1,True,24.0,recovered,1350.39,0.0
TX000067,C01850,transaction_limit_exceeded,SOFT_RETRY,464.97,True,24|48|72,2,True,48.0,recovered,464.97,0.0
TX000068,C01069,transaction_limit_exceeded,SOFT_RETRY,1438.81,True,24|48|72,2,True,48.0,recovered,1438.81,0.0
TX000069,C00345,incorrect_card_details,HARD_FAILURE,1309.4,False,,0,False,,not_eligible,0.0,1309.4
TX000070,C01753,card_declined,SOFT_RETRY,1056.67,True,24|48|72,1,True,24.0,recovered,1056.67,0.0
TX000071,C01437,insufficient_funds,SOFT_RETRY,729.05,True,24|48|72,1,True,24.0,recovered,729.05,0.0
TX000072,C01418,card_declined,SOFT_RETRY,16478.59,True,24|48|72,3,False,,lost,0.0,16478.59
TX000073,C01180,payment_timed_out,SOFT_RETRY,834.09,True,24|48|72,3,False,,lost,0.0,834.09
TX000074,C00301,insufficient_funds,SOFT_RETRY,858.47,True,24|48|72,1,True,24.0,recovered,858.47,0.0
TX000075,C01181,issuer_technical_error,SOFT_RETRY,11461.32,True,24|48|72,3,False,,lost,0.0,11461.32
TX000076,C00998,payment_declined_due_to_high_traffic,SOFT_RETRY,13306.49,True,24|48|72,3,False,,lost,0.0,13306.49
TX000077,C01949,card_declined,SOFT_RETRY,1383.9,True,24|48|72,3,False,,lost,0.0,1383.9
TX000078,C01111,incorrect_card_details,HARD_FAILURE,1980.82,False,,0,False,,not_eligible,0.0,1980.82
TX000079,C01197,payment_risk_check_failed,DO_NOT_RETRY,448.1,False,,0,False,,not_eligible,0.0,448.1
TX000080,C01127,card_expired,HARD_FAILURE,434.55,False,,0,False,,not_eligible,0.0,434.55
TX000081,C01986,insufficient_funds,SOFT_RETRY,29135.55,True,24|48|72,3,False,,lost,0.0,29135.55
TX000082,C01008,debit_instrument_inactive,HARD_FAILURE,1110.75,False,,0,False,,not_eligible,0.0,1110.75
TX000083,C01098,insufficient_funds,SOFT_RETRY,1242.32,True,24|48|72,1,True,24.0,recovered,1242.32,0.0
TX000084,C00229,insufficient_funds,SOFT_RETRY,1102.91,True,24|48|72,1,True,24.0,recovered,1102.91,0.0
TX000085,C01808,transaction_limit_exceeded,SOFT_RETRY,641.76,True,24|48|72,2,True,48.0,recovered,641.76,0.0
TX000086,C00757,card_declined,SOFT_RETRY,2289.86,True,24|48|72,3,False,,lost,0.0,2289.86
TX000087,C00563,transaction_daily_limit_exceeded,SOFT_RETRY,1814.57,True,24|48|72,3,True,72.0,recovered,1814.57,0.0
TX000088,C01911,gateway_technical_error,SOFT_RETRY,777.56,True,24|48|72,3,False,,lost,0.0,777.56
TX000089,C00583,payment_timed_out,SOFT_RETRY,891.39,True,24|48|72,3,False,,lost,0.0,891.39
TX000090,C01928,incorrect_card_details,HARD_FAILURE,5265.71,False,,0,False,,not_eligible,0.0,5265.71
TX000091,C00688,issuer_technical_error,SOFT_RETRY,767.82,True,24|48|72,3,False,,lost,0.0,767.82
TX000092,C01135,card_declined,SOFT_RETRY,11138.26,True,24|48|72,3,False,,lost,0.0,11138.26
TX000093,C00799,payment_timed_out,SOFT_RETRY,839.04,True,24|48|72,3,False,,lost,0.0,839.04
TX000094,C01650,payment_cancelled,HARD_FAILURE,6482.82,False,,0,False,,not_eligible,0.0,6482.82
TX000095,C01373,payment_risk_check_failed,DO_NOT_RETRY,310.86,False,,0,False,,not_eligible,0.0,310.86
TX000096,C00313,payment_risk_check_failed,DO_NOT_RETRY,11193.49,False,,0,False,,not_eligible,0.0,11193.49
TX000097,C00025,issuer_technical_error,SOFT_RETRY,1042.23,True,24|48|72,3,True,72.0,recovered,1042.23,0.0
TX000098,C01068,payment_risk_check_failed,DO_NOT_RETRY,2132.51,False,,0,False,,not_eligible,0.0,2132.51
TX000099,C00714,payment_timed_out,SOFT_RETRY,16274.53,True,24|48|72,3,False,,lost,0.0,16274.53
TX000100,C01664,incorrect_cvv,HARD_FAILURE,886.9,False,,0,False,,not_eligible,0.0,886.9
TX000101,C01243,bank_technical_error,SOFT_RETRY,1032.31,True,24|48|72,3,False,,lost,0.0,1032.31
TX000102,C00675,insufficient_funds,SOFT_RETRY,3099.89,True,24|48|72,3,False,,lost,0.0,3099.89
TX000103,C00540,payment_risk_check_failed,DO_NOT_RETRY,2345.9,False,,0,False,,not_eligible,0.0,2345.9
TX000104,C01713,insufficient_funds,SOFT_RETRY,549.53,True,24|48|72,2,True,48.0,recovered,549.53,0.0
TX000105,C00284,bank_technical_error,SOFT_RETRY,17011.55,True,24|48|72,3,False,,lost,0.0,17011.55
TX000106,C00114,card_declined,SOFT_RETRY,896.64,True,24|48|72,3,False,,lost,0.0,896.64
TX000107,C00181,bank_technical_error,SOFT_RETRY,1091.52,True,24|48|72,3,False,,lost,0.0,1091.52
TX000108,C01511,issuer_technical_error,SOFT_RETRY,562.88,True,24|48|72,3,False,,lost,0.0,562.88
TX000109,C01222,insufficient_funds,SOFT_RETRY,248.12,True,24|48|72,2,True,48.0,recovered,248.12,0.0
TX000110,C01641,payment_declined_due_to_high_traffic,SOFT_RETRY,415.16,True,24|48|72,3,False,,lost,0.0,415.16
TX000111,C01159,payment_risk_check_failed,DO_NOT_RETRY,8518.48,False,,0,False,,not_eligible,0.0,8518.48
TX000112,C01554,bank_technical_error,SOFT_RETRY,34141.82,True,24|48|72,3,False,,lost,0.0,34141.82
TX000113,C01843,incorrect_card_details,HARD_FAILURE,554.96,False,,0,False,,not_eligible,0.0,554.96
TX000114,C01983,payment_timed_out,SOFT_RETRY,523.15,True,24|48|72,1,True,24.0,recovered,523.15,0.0
TX000115,C00606,insufficient_funds,SOFT_RETRY,843.65,True,24|48|72,3,False,,lost,0.0,843.65
TX000116,C00389,gateway_technical_error,SOFT_RETRY,2656.53,True,24|48|72,3,True,72.0,recovered,2656.53,0.0
TX000117,C00454,transaction_daily_limit_exceeded,SOFT_RETRY,19989.21,True,24|48|72,1,True,24.0,recovered,19989.21,0.0
TX000118,C00372,payment_risk_check_failed,DO_NOT_RETRY,869.41,False,,0,False,,not_eligible,0.0,869.41
TX000119,C00339,card_declined,SOFT_RETRY,526.83,True,24|48|72,3,False,,lost,0.0,526.83
TX000120,C01401,transaction_daily_limit_exceeded,SOFT_RETRY,1080.29,True,24|48|72,2,True,48.0,recovered,1080.29,0.0
TX000121,C01932,insufficient_funds,SOFT_RETRY,187.44,True,24|48|72,2,True,48.0,recovered,187.44,0.0
TX000122,C00018,payment_timed_out,SOFT_RETRY,736.38,True,24|48|72,3,False,,lost,0.0,736.38
TX000123,C00144,card_declined,SOFT_RETRY,1833.78,True,24|48|72,3,False,,lost,0.0,1833.78
TX000124,C00340,transaction_daily_limit_exceeded,SOFT_RETRY,554.2,True,24|48|72,2,True,48.0,recovered,554.2,0.0
TX000125,C00778,insufficient_funds,SOFT_RETRY,17566.8,True,24|48|72,1,True,24.0,recovered,17566.8,0.0
TX000126,C01812,card_not_enrolled,HARD_FAILURE,1812.71,False,,0,False,,not_eligible,0.0,1812.71
TX000127,C01747,transaction_limit_exceeded,SOFT_RETRY,1540.85,True,24|48|72,3,False,,lost,0.0,1540.85
TX000128,C00063,transaction_daily_limit_exceeded,SOFT_RETRY,11408.02,True,24|48|72,1,True,24.0,recovered,11408.02,0.0
TX000129,C01927,card_declined,SOFT_RETRY,4159.2,True,24|48|72,2,True,48.0,recovered,4159.2,0.0
TX000130,C01204,transaction_limit_exceeded,SOFT_RETRY,2096.71,True,24|48|72,1,True,24.0,recovered,2096.71,0.0
TX000131,C00160,issuer_technical_error,SOFT_RETRY,1227.97,True,24|48|72,3,False,,lost,0.0,1227.97
TX000132,C00025,transaction_daily_limit_exceeded,SOFT_RETRY,874.63,True,24|48|72,3,False,,lost,0.0,874.63
TX000133,C01200,card_declined,SOFT_RETRY,3478.89,True,24|48|72,3,False,,lost,0.0,3478.89
TX000134,C01182,payment_cancelled,HARD_FAILURE,477.1,False,,0,False,,not_eligible,0.0,477.1
TX000135,C00359,issuer_technical_error,SOFT_RETRY,2019.01,True,24|48|72,3,False,,lost,0.0,2019.01
TX000136,C01093,debit_instrument_blocked,HARD_FAILURE,712.56,False,,0,False,,not_eligible,0.0,712.56
TX000137,C01829,payment_risk_check_failed,DO_NOT_RETRY,8557.2,False,,0,False,,not_eligible,0.0,8557.2
TX000138,C01852,insufficient_funds,SOFT_RETRY,258.61,True,24|48|72,1,True,24.0,recovered,258.61,0.0
TX000139,C00914,bank_technical_error,SOFT_RETRY,11176.47,True,24|48|72,3,False,,lost,0.0,11176.47
TX000140,C00112,gateway_technical_error,SOFT_RETRY,1771.21,True,24|48|72,3,False,,lost,0.0,1771.21
TX000141,C01764,insufficient_funds,SOFT_RETRY,582.46,True,24|48|72,3,True,72.0,recovered,582.46,0.0
TX000142,C01251,incorrect_card_details,HARD_FAILURE,370.97,False,,0,False,,not_eligible,0.0,370.97
TX000143,C00056,server_error,SOFT_RETRY,5341.94,True,24|48|72,3,False,,lost,0.0,5341.94
TX000144,C01610,insufficient_funds,SOFT_RETRY,16043.1,True,24|48|72,3,False,,lost,0.0,16043.1
TX000145,C00315,insufficient_funds,SOFT_RETRY,10980.11,True,24|48|72,1,True,24.0,recovered,10980.11,0.0
TX000146,C00397,gateway_technical_error,SOFT_RETRY,984.93,True,24|48|72,3,False,,lost,0.0,984.93
TX000147,C01888,insufficient_funds,SOFT_RETRY,601.41,True,24|48|72,1,True,24.0,recovered,601.41,0.0
TX000148,C00655,payment_risk_check_failed,DO_NOT_RETRY,1566.17,False,,0,False,,not_eligible,0.0,1566.17
TX000149,C00022,insufficient_funds,SOFT_RETRY,728.56,True,24|48|72,1,True,24.0,recovered,728.56,0.0
TX000150,C01488,card_declined,SOFT_RETRY,12271.87,True,24|48|72,3,False,,lost,0.0,12271.87
TX000151,C01161,bank_technical_error,SOFT_RETRY,1010.32,True,24|48|72,3,False,,lost,0.0,1010.32
TX000152,C01611,payment_timed_out,SOFT_RETRY,7829.47,True,24|48|72,3,False,,lost,0.0,7829.47
TX000153,C01411,transaction_daily_limit_exceeded,SOFT_RETRY,7649.23,True,24|48|72,3,True,72.0,recovered,7649.23,0.0
TX000154,C01470,incorrect_cvv,HARD_FAILURE,573.7,False,,0,False,,not_eligible,0.0,573.7
TX000155,C00068,server_error,SOFT_RETRY,3758.08,True,24|48|72,3,False,,lost,0.0,3758.08
TX000156,C00236,payment_timed_out,SOFT_RETRY,5031.9,True,24|48|72,2,True,48.0,recovered,5031.9,0.0
TX000157,C00347,transaction_limit_exceeded,SOFT_RETRY,316.16,True,24|48|72,3,False,,lost,0.0,316.16
TX000158,C01845,insufficient_funds,SOFT_RETRY,740.33,True,24|48|72,1,True,24.0,recovered,740.33,0.0
TX000159,C00757,gateway_technical_error,SOFT_RETRY,42766.03,True,24|48|72,3,False,,lost,0.0,42766.03
TX000160,C00287,payment_declined_due_to_high_traffic,SOFT_RETRY,484.14,True,24|48|72,3,False,,lost,0.0,484.14
TX000161,C01441,insufficient_funds,SOFT_RETRY,12865.65,True,24|48|72,3,False,,lost,0.0,12865.65
TX000162,C01707,incorrect_cvv,HARD_FAILURE,5680.33,False,,0,False,,not_eligible,0.0,5680.33
TX000163,C01560,insufficient_funds,SOFT_RETRY,14812.57,True,24|48|72,1,True,24.0,recovered,14812.57,0.0
TX000164,C00300,card_declined,SOFT_RETRY,2938.01,True,24|48|72,3,False,,lost,0.0,2938.01
TX000165,C01326,issuer_technical_error,SOFT_RETRY,1133.72,True,24|48|72,3,False,,lost,0.0,1133.72
TX000166,C01237,insufficient_funds,SOFT_RETRY,18481.15,True,24|48|72,1,True,24.0,recovered,18481.15,0.0
TX000167,C01731,bank_technical_error,SOFT_RETRY,14506.62,True,24|48|72,3,False,,lost,0.0,14506.62
TX000168,C00266,card_declined,SOFT_RETRY,1379.99,True,24|48|72,3,False,,lost,0.0,1379.99
TX000169,C00063,card_declined,SOFT_RETRY,497.96,True,24|48|72,3,False,,lost,0.0,497.96
TX000170,C01822,issuer_technical_error,SOFT_RETRY,12705.66,True,24|48|72,3,False,,lost,0.0,12705.66
TX000171,C00849,gateway_technical_error,SOFT_RETRY,18258.4,True,24|48|72,3,False,,lost,0.0,18258.4
TX000172,C00665,insufficient_funds,SOFT_RETRY,12908.89,True,24|48|72,3,False,,lost,0.0,12908.89
TX000173,C00935,card_expired,HARD_FAILURE,38937.66,False,,0,False,,not_eligible,0.0,38937.66
TX000174,C00787,insufficient_funds,SOFT_RETRY,18972.54,True,24|48|72,3,False,,lost,0.0,18972.54
TX000175,C00587,server_error,SOFT_RETRY,413.8,True,24|48|72,3,False,,lost,0.0,413.8
TX000176,C00101,bank_technical_error,SOFT_RETRY,1407.34,True,24|48|72,3,False,,lost,0.0,1407.34
TX000177,C01813,transaction_daily_limit_exceeded,SOFT_RETRY,521.53,True,24|48|72,3,False,,lost,0.0,521.53
TX000178,C01024,gateway_technical_error,SOFT_RETRY,2163.06,True,24|48|72,3,False,,lost,0.0,2163.06
TX000179,C01788,gateway_technical_error,SOFT_RETRY,1457.83,True,24|48|72,3,False,,lost,0.0,1457.83
TX000180,C01121,payment_cancelled,HARD_FAILURE,558.82,False,,0,False,,not_eligible,0.0,558.82
TX000181,C00880,insufficient_funds,SOFT_RETRY,1386.45,True,24|48|72,3,False,,lost,0.0,1386.45
TX000182,C00518,gateway_technical_error,SOFT_RETRY,648.32,True,24|48|72,3,False,,lost,0.0,648.32
TX000183,C00739,server_error,SOFT_RETRY,1473.68,True,24|48|72,3,False,,lost,0.0,1473.68
TX000184,C01228,debit_instrument_inactive,HARD_FAILURE,523.32,False,,0,False,,not_eligible,0.0,523.32
TX000185,C00070,payment_timed_out,SOFT_RETRY,364.02,True,24|48|72,3,False,,lost,0.0,364.02
TX000186,C00198,card_declined,SOFT_RETRY,31479.91,True,24|48|72,3,True,72.0,recovered,31479.91,0.0
TX000187,C00274,issuer_technical_error,SOFT_RETRY,61468.34,True,24|48|72,3,False,,lost,0.0,61468.34
TX000188,C01768,insufficient_funds,SOFT_RETRY,410.04,True,24|48|72,1,True,24.0,recovered,410.04,0.0
TX000189,C01613,payment_risk_check_failed,DO_NOT_RETRY,6462.76,False,,0,False,,not_eligible,0.0,6462.76
TX000190,C00848,gateway_technical_error,SOFT_RETRY,538.59,True,24|48|72,3,False,,lost,0.0,538.59
TX000191,C00798,insufficient_funds,SOFT_RETRY,9647.18,True,24|48|72,3,False,,lost,0.0,9647.18
TX000192,C01736,card_declined,SOFT_RETRY,1629.56,True,24|48|72,3,False,,lost,0.0,1629.56
TX000193,C01910,server_error,SOFT_RETRY,63984.35,True,24|48|72,3,False,,lost,0.0,63984.35
TX000194,C01463,card_expired,HARD_FAILURE,1556.93,False,,0,False,,not_eligible,0.0,1556.93
TX000195,C00870,incorrect_cvv,HARD_FAILURE,693.81,False,,0,False,,not_eligible,0.0,693.81
TX000196,C00602,transaction_limit_exceeded,SOFT_RETRY,11551.81,True,24|48|72,3,False,,lost,0.0,11551.81
TX000197,C01610,debit_instrument_inactive,HARD_FAILURE,2686.09,False,,0,False,,not_eligible,0.0,2686.09
TX000198,C01675,gateway_technical_error,SOFT_RETRY,488.91,True,24|48|72,3,False,,lost,0.0,488.91
TX000199,C01049,transaction_limit_exceeded,SOFT_RETRY,1208.2,True,24|48|72,3,False,,lost,0.0,1208.2
TX000200,C00514,gateway_technical_error,SOFT_RETRY,686.65,True,24|48|72,3,False,,lost,0.0,686.65
TX000201,C00497,transaction_limit_exceeded,SOFT_RETRY,59062.7,True,24|48|72,3,False,,lost,0.0,59062.7
TX000202,C01060,insufficient_funds,SOFT_RETRY,209.47,True,24|48|72,1,True,24.0,recovered,209.47,0.0
TX000203,C00919,insufficient_funds,SOFT_RETRY,443.28,True,24|48|72,3,False,,lost,0.0,443.28
TX000204,C00874,card_declined,SOFT_RETRY,415.98,True,24|48|72,3,False,,lost,0.0,415.98
TX000205,C00467,payment_risk_check_failed,DO_NOT_RETRY,17447.35,False,,0,False,,not_eligible,0.0,17447.35
TX000206,C01262,transaction_daily_limit_exceeded,SOFT_RETRY,991.55,True,24|48|72,1,True,24.0,recovered,991.55,0.0
TX000207,C00480,gateway_technical_error,SOFT_RETRY,1173.94,True,24|48|72,3,False,,lost,0.0,1173.94
TX000208,C01546,insufficient_funds,SOFT_RETRY,2035.7,True,24|48|72,2,True,48.0,recovered,2035.7,0.0
TX000209,C01377,payment_declined_due_to_high_traffic,SOFT_RETRY,802.47,True,24|48|72,3,False,,lost,0.0,802.47
TX000210,C00436,insufficient_funds,SOFT_RETRY,16717.61,True,24|48|72,1,True,24.0,recovered,16717.61,0.0
TX000211,C01713,debit_instrument_inactive,HARD_FAILURE,1282.98,False,,0,False,,not_eligible,0.0,1282.98
TX000212,C00444,card_expired,HARD_FAILURE,958.53,False,,0,False,,not_eligible,0.0,958.53
TX000213,C01615,incorrect_cvv,HARD_FAILURE,6512.72,False,,0,False,,not_eligible,0.0,6512.72
TX000214,C01646,insufficient_funds,SOFT_RETRY,784.41,True,24|48|72,3,True,72.0,recovered,784.41,0.0
TX000215,C01833,insufficient_funds,SOFT_RETRY,11634.76,True,24|48|72,3,False,,lost,0.0,11634.76
TX000216,C00310,payment_timed_out,SOFT_RETRY,1472.49,True,24|48|72,3,False,,lost,0.0,1472.49
TX000217,C00074,payment_risk_check_failed,DO_NOT_RETRY,519.8,False,,0,False,,not_eligible,0.0,519.8
TX000218,C00950,incorrect_card_details,HARD_FAILURE,466.69,False,,0,False,,not_eligible,0.0,466.69
TX000219,C00669,card_not_enrolled,HARD_FAILURE,295.21,False,,0,False,,not_eligible,0.0,295.21
TX000220,C00909,gateway_technical_error,SOFT_RETRY,833.97,True,24|48|72,3,False,,lost,0.0,833.97
TX000221,C01310,payment_timed_out,SOFT_RETRY,1022.24,True,24|48|72,3,False,,lost,0.0,1022.24
TX000222,C01816,debit_instrument_blocked,HARD_FAILURE,908.8,False,,0,False,,not_eligible,0.0,908.8
TX000223,C00737,incorrect_cvv,HARD_FAILURE,2084.19,False,,0,False,,not_eligible,0.0,2084.19
TX000224,C00119,card_declined,SOFT_RETRY,493.47,True,24|48|72,2,True,48.0,recovered,493.47,0.0
TX000225,C01680,transaction_limit_exceeded,SOFT_RETRY,2781.76,True,24|48|72,3,False,,lost,0.0,2781.76
TX000226,C01330,payment_cancelled,HARD_FAILURE,19520.22,False,,0,False,,not_eligible,0.0,19520.22
TX000227,C01860,card_declined,SOFT_RETRY,925.4,True,24|48|72,3,False,,lost,0.0,925.4
TX000228,C01293,card_expired,HARD_FAILURE,667.16,False,,0,False,,not_eligible,0.0,667.16
TX000229,C00587,transaction_daily_limit_exceeded,SOFT_RETRY,508.63,True,24|48|72,3,False,,lost,0.0,508.63
TX000230,C00174,issuer_technical_error,SOFT_RETRY,1056.67,True,24|48|72,3,False,,lost,0.0,1056.67
TX000231,C00935,transaction_daily_limit_exceeded,SOFT_RETRY,691.64,True,24|48|72,3,False,,lost,0.0,691.64
TX000232,C01756,bank_technical_error,SOFT_RETRY,5173.06,True,24|48|72,3,False,,lost,0.0,5173.06
TX000233,C01361,insufficient_funds,SOFT_RETRY,1593.74,True,24|48|72,3,False,,lost,0.0,1593.74
TX000234,C00978,insufficient_funds,SOFT_RETRY,554.61,True,24|48|72,3,False,,lost,0.0,554.61
TX000235,C01164,insufficient_funds,SOFT_RETRY,494.83,True,24|48|72,2,True,48.0,recovered,494.83,0.0
TX000236,C01756,payment_risk_check_failed,DO_NOT_RETRY,336.73,False,,0,False,,not_eligible,0.0,336.73
TX000237,C00219,debit_instrument_inactive,HARD_FAILURE,12516.64,False,,0,False,,not_eligible,0.0,12516.64
TX000238,C01306,payment_risk_check_failed,DO_NOT_RETRY,677.01,False,,0,False,,not_eligible,0.0,677.01
TX000239,C01910,payment_risk_check_failed,DO_NOT_RETRY,1124.0,False,,0,False,,not_eligible,0.0,1124.0
